name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,realease_year
Count Basic,Platinum Dust,0.677,0.31,10,-10.002,0,0.13,0.513,0.885,0.589,0.235,148.117,108069,4,2022
Beach Date,Guzimi,0.683,0.467,9,-14.021,1,0.0577,0.804,0.897,0.113,0.307,81.002,130234,4,2022
Forbidden Trail,Shierro,0.606,0.419,5,-9.548,0,0.0451,0.276,0.862,0.188,0.235,80.032,151066,4,2022
Proti Fora,No Spirit,0.639,0.597,0,-8.885,0,0.0474,0.593,0.878,0.0982,0.173,92.969,169413,4,2022
Tendrils,Mr. Käfer,0.638,0.226,5,-15.548,0,0.0805,0.528,0.918,0.126,0.65,79.997,125250,4,2022
Don't Forget,Phlocalyst,0.65,0.252,0,-10.939,1,0.046,0.522,0.879,0.106,0.332,170.028,148000,4,2022
Sneaking in the long run,Bamboozled Bumblebee,0.614,0.377,9,-14.557,0,0.0955,0.925,0.918,0.0877,0.467,83.603,138571,4,2022
Let Her Go,Oilix,0.677,0.327,6,-14.561,0,0.035,0.782,0.872,0.124,0.45,86.98,124138,4,2022
Tiembos,Living Room,0.758,0.554,10,-10.164,0,0.233,0.597,0.856,0.12,0.881,171.928,102107,4,2022
Idyllic,Fthmlss,0.548,0.281,1,-17.057,0,0.0412,0.554,0.624,0.105,0.0812,77.123,224000,4,2022
Lepricorn Ride,Sebastian Flecci,0.795,0.449,1,-9.037,0,0.205,0.741,0.395,0.108,0.168,159.906,123000,4,2022
Something in the Air,Thymes,0.382,0.206,9,-17.066,0,0.0337,0.928,0.872,0.105,0.331,164.109,110769,5,2022
Rising Moon,Mr. Käfer,0.621,0.473,10,-12.516,0,0.11,0.751,0.92,0.128,0.609,80.989,177938,4,2022
Milky Way,Elffire,0.731,0.184,3,-13.763,0,0.321,0.125,0.832,0.111,0.339,160.24,108000,4,2022
Orange Sunshine,Mama Aiuto,0.676,0.51,6,-7.901,0,0.088,0.0699,0.811,0.0978,0.633,166.286,118584,4,2022
One Life,Living Room,0.742,0.448,4,-10.879,0,0.0369,0.735,0.746,0.126,0.465,86.043,101163,4,2022
Rivers,Dr. Dundiff,0.756,0.328,0,-10.415,0,0.0749,0.466,0.869,0.148,0.129,100.035,118347,4,2022
Inner Courage,Mr. Käfer,0.716,0.321,7,-10.609,1,0.0814,0.911,0.912,0.1,0.964,144.041,172000,4,2022
late night cocktails,yeyts.,0.596,0.45,1,-8.564,0,0.0734,0.284,0.899,0.127,0.474,177.485,120337,4,2022
Banana Brains,Ganzo,0.754,0.25,4,-14.151,0,0.048,0.864,0.902,0.125,0.426,119.078,132941,4,2022
Sunday Vibe,The BREED,0.67,0.456,5,-10.751,0,0.0673,0.279,0.895,0.0984,0.589,80.974,100038,4,2022
When It's Over,Noxz,0.675,0.539,4,-9.754,0,0.043,0.382,0.93,0.111,0.453,94.908,132632,4,2022
SERENITY,Jazzy James,0.658,0.396,10,-11.663,1,0.0446,0.884,0.838,0.125,0.124,78.065,215769,4,2022
Reminisce,Oaty.,0.546,0.394,11,-9.039,0,0.0641,0.818,0.951,0.125,0.273,87.975,130909,4,2022
Here it comes,vort vort,0.671,0.573,5,-6.933,0,0.0777,0.75,0.168,0.116,0.411,80.001,102164,4,2022
Panini,Pinetops Winston,0.852,0.494,1,-9.571,0,0.374,0.558,0.685,0.209,0.611,81.98,135274,4,2022
ohko mayo,buggy beats,0.539,0.496,9,-6.841,1,0.0718,0.367,0.0195,0.182,0.348,89.988,130610,4,2022
Brush,Lé Mon,0.425,0.16,0,-16.383,1,0.057,0.791,0.929,0.107,0.325,79.842,123000,4,2022
Soulmate,Oilix,0.604,0.283,5,-12.738,0,0.0382,0.725,0.829,0.114,0.739,169.979,118588,4,2022
Poppy,Dpsht,0.798,0.172,6,-14.949,1,0.0998,0.894,0.918,0.109,0.433,147.838,104797,4,2022
Fearless,Louk,0.509,0.549,9,-9.435,0,0.188,0.726,0.0031,0.177,0.342,79.367,169500,4,2022
Fettuccine,LESKY,0.752,0.283,11,-13.0,1,0.0495,0.656,0.862,0.112,0.484,140.02,151667,4,2022
ridley road,archipelago beats,0.681,0.338,6,-14.745,1,0.316,0.911,0.897,0.138,0.85,180.169,144083,4,2022
Long Havel Beach,DJ Piper,0.697,0.595,9,-8.878,1,0.128,0.102,0.841,0.237,0.199,172.023,164080,4,2022
Spheres,Bipeula,0.439,0.383,1,-10.987,0,0.0747,0.102,0.87,0.0967,0.446,165.749,111750,4,2022
Heart of Ways,Oilix,0.678,0.0901,8,-18.251,1,0.0944,0.737,0.889,0.326,0.192,74.92,134400,4,2022
Curiosity,Midan,0.817,0.737,10,-6.927,0,0.0758,0.176,0.93,0.134,0.814,94.001,168511,4,2022
Dusty Donuts,Burrito Eats,0.689,0.428,6,-8.71,0,0.0417,0.0477,0.736,0.781,0.531,81.493,113006,4,2022
Trespassing,Shierro,0.497,0.361,6,-12.365,0,0.0351,0.588,0.226,0.119,0.121,78.036,160769,4,2022
Sky,Floating Anarchy,0.755,0.474,10,-12.938,0,0.216,0.48,0.889,0.104,0.717,87.971,130909,4,2022
Zairi,Khutko,0.841,0.438,9,-8.27,0,0.0433,0.357,0.874,0.123,0.931,92.03,125217,4,2022
Oniria,Gas Lab,0.538,0.529,6,-11.654,0,0.386,0.854,0.48,0.156,0.418,70.057,141857,4,2022
Love Me More,Tundra Beats,0.698,0.558,6,-8.716,0,0.0519,0.344,0.398,0.112,0.373,94.959,151582,4,2022
crush on me,dirtybirdie,0.836,0.193,6,-13.868,1,0.107,0.912,0.927,0.086,0.145,80.082,112125,4,2022
Unter Löwen und Banditen,Dualizm,0.442,0.223,9,-13.339,0,0.15,0.793,0.765,0.112,0.516,147.559,128366,4,2022
IDK Valley,Supereffective,0.767,0.574,0,-8.377,1,0.367,0.692,0.805,0.219,0.346,169.951,118659,4,2022
Moon People,Cutecake,0.72,0.755,9,-5.345,0,0.145,0.482,0.584,0.107,0.726,87.949,124431,4,2022
Talented Mr. Finley,Wezley Wiz,0.723,0.41,11,-9.607,0,0.0328,0.00953,0.873,0.248,0.141,129.943,149538,4,2022
ZEPHYR,squeeda,0.834,0.273,2,-12.388,0,0.0528,0.534,0.713,0.0883,0.0993,123.984,183486,4,2022
The Conqueror,Jazzy James,0.735,0.399,5,-13.985,1,0.107,0.862,0.886,0.128,0.507,155.98,152728,4,2022
STARTING TO SMILE,Silvan Strauss,0.808,0.38,8,-9.99,1,0.0705,0.239,0.938,0.101,0.448,90.031,154956,4,2022
I Do,Dr. Dundiff,0.796,0.152,1,-13.371,1,0.101,0.0554,0.917,0.102,0.846,87.111,118621,4,2022
Es kommt zum Duell,Dualizm,0.689,0.532,5,-10.492,0,0.0607,0.21,0.919,0.0615,0.691,171.925,80563,4,2022
Carombola,LESKY,0.76,0.534,0,-11.453,1,0.113,0.151,0.308,0.097,0.77,78.997,152400,4,2022
Garden Lights,Jam'addict,0.643,0.0819,4,-18.712,0,0.0567,0.918,0.94,0.101,0.081,112.525,128000,3,2022
Fields,Drxnk,0.5,0.377,8,-15.277,0,0.0582,0.948,0.948,0.111,0.133,156.67,125000,4,2022
Cali Orange,Alexander IV,0.666,0.422,8,-6.92,0,0.0307,0.351,0.94,0.179,0.789,79.991,129567,4,2022
lemons,Heinrich Schlupf,0.774,0.467,9,-11.82,0,0.174,0.705,0.883,0.102,0.411,79.908,108000,4,2022
Last Vacation,Dolittlebeats,0.741,0.128,0,-16.695,1,0.0567,0.473,0.899,0.109,0.14,80.011,108000,4,2022
british backyard,Eli Fischer,0.604,0.434,0,-6.879,0,0.0362,0.418,0.925,0.121,0.772,74.281,75000,4,2022
Changed,David Cutter Music,0.788,0.534,10,-11.106,0,0.194,0.000113,0.934,0.109,0.887,172.392,156011,4,2022
Coffee Grounds,Jules Hiero,0.698,0.459,1,-15.166,1,0.0356,0.138,0.864,0.11,0.177,127.979,176000,4,2022
Ten Clouds,Katashi Kaitō,0.668,0.138,6,-13.528,0,0.122,0.534,0.319,0.105,0.55,163.996,155136,4,2022
Dust Off,Smoke Trees,0.761,0.215,0,-8.96,1,0.432,0.85,0.915,0.111,0.494,179.298,107019,4,2022
Stone,Klaus Layer,0.743,0.573,6,-7.684,0,0.273,0.54,0.87,0.29,0.96,78.046,118000,5,2022
Ocean View,Casiio,0.686,0.13,7,-18.854,1,0.0474,0.863,0.728,0.11,0.399,129.993,88721,4,2022
Island Cruise,Berezy,0.723,0.542,8,-11.232,0,0.0466,0.606,0.837,0.112,0.3,87.996,98182,4,2022
La Cucaracha Gloriosa,Parental,0.73,0.493,10,-5.959,0,0.0488,0.195,0.768,0.111,0.341,90.977,195165,4,2022
Astral Pathways,Myríad,0.587,0.147,3,-19.279,1,0.0684,0.935,0.918,0.11,0.103,65.015,130154,4,2022
Jazz Hands,Remulak,0.57,0.46,2,-7.903,1,0.0513,0.302,0.592,0.431,0.46,141.999,98313,4,2022
Business Class,Mindscape,0.719,0.366,4,-13.589,0,0.386,0.0817,0.811,0.451,0.485,83.455,134711,4,2022
Fairytale,Loufish,0.691,0.244,5,-12.749,0,0.0742,0.63,0.881,0.113,0.138,156.025,110769,4,2022
Course,Knowmadic,0.691,0.323,6,-16.599,1,0.119,0.897,0.942,0.0975,0.382,75.955,138947,4,2022
Vito,lorleaf,0.741,0.286,3,-10.295,1,0.126,0.818,0.907,0.11,0.262,86.002,123488,4,2022
Equinox,Casiio,0.584,0.215,5,-12.782,0,0.0276,0.764,0.553,0.117,0.137,140.008,109714,4,2022
beyond the pines,Guzimi,0.732,0.382,9,-13.427,0,0.199,0.721,0.58,0.143,0.367,80.002,111000,4,2022
Lights Out,Deauxnuts,0.674,0.333,4,-10.344,0,0.0345,0.49,0.856,0.102,0.417,83.921,108571,4,2022
Dorado,Lazlow,0.783,0.484,4,-8.011,0,0.0466,0.617,0.811,0.112,0.131,137.984,126087,4,2022
Glow,Toru,0.619,0.27,6,-15.36,1,0.0681,0.583,0.936,0.0929,0.741,183.919,110870,4,2022
Tenkodo,lorleaf,0.708,0.184,4,-16.305,0,0.294,0.375,0.53,0.117,0.452,76.001,157895,4,2022
transient beach,gnerf,0.714,0.507,0,-8.735,1,0.0475,0.552,0.84,0.177,0.336,73.992,147568,4,2022
Spiegelei,Spaze Windu,0.782,0.561,8,-9.599,0,0.0589,0.454,0.805,0.106,0.299,90.012,151005,4,2022
Biscuits and Gravy,Sloppy Jo,0.669,0.315,5,-9.65,1,0.125,0.507,0.822,0.08,0.491,160.334,102000,4,2022
For Those Who Love... - Beat Edit,Koralle,0.677,0.508,3,-9.032,0,0.0573,0.0282,0.879,0.0916,0.52,169.995,175600,4,2022
Nebula,Czapter,0.513,0.338,2,-16.411,0,0.164,0.846,0.831,0.14,0.688,77.016,120500,4,2022
Five Pants,Bezzix,0.866,0.249,5,-13.156,1,0.319,0.464,0.0281,0.276,0.565,86.944,138448,4,2022
Harlem,Pixie Dust,0.615,0.554,7,-13.087,1,0.0448,0.576,0.805,0.11,0.126,90.004,130951,4,2022
Wavehealing,77th Man,0.698,0.282,10,-13.678,0,0.0408,0.735,0.885,0.12,0.369,80.004,148800,4,2022
Loretto,Stapes,0.677,0.428,3,-10.939,0,0.265,0.941,0.742,0.159,0.663,143.84,108793,4,2022
HAVE A GOOD DAY,sleen.,0.771,0.394,0,-8.482,0,0.208,0.662,0.697,0.117,0.445,169.964,136941,4,2022
Bye,Saiko,0.632,0.498,5,-8.89,0,0.0506,0.617,0.946,0.149,0.161,173.983,135172,4,2022
Golden Milk,Malia Løu,0.509,0.318,9,-17.186,0,0.0788,0.63,0.00539,0.132,0.288,134.148,121981,4,2022
Saguaro,yosev,0.722,0.564,6,-7.12,1,0.198,0.103,0.916,0.0646,0.854,171.93,120000,4,2022
Lucid Dream,Oatmello,0.801,0.335,2,-14.452,1,0.3,0.73,0.737,0.102,0.0388,77.998,125385,4,2022
Too Much Rain,Screen Jazzmaster,0.578,0.491,1,-10.362,0,0.0313,0.689,0.813,0.111,0.172,80.002,144000,4,2022
Botanic Vibes,Donkeychote,0.706,0.376,0,-15.254,0,0.0442,0.692,0.918,0.126,0.346,89.978,139404,4,2022
A New Moanin',Boozoo Bajou,0.764,0.349,2,-9.99,0,0.0518,0.0169,0.593,0.702,0.517,79.806,193113,4,2022
Tender,sinnr,0.622,0.195,11,-14.596,1,0.0344,0.945,0.938,0.123,0.0748,140.047,127085,4,2022
Aura,Mindeliq,0.685,0.137,7,-14.8,0,0.0603,0.825,0.915,0.119,0.161,73.024,131935,3,2022
Tumble Weed,Loufish,0.709,0.15,4,-14.307,0,0.0899,0.421,0.911,0.111,0.302,139.957,109714,4,2022
Pouring Rain,softy,0.36,0.212,10,-14.955,0,0.0399,0.926,0.924,0.0963,0.118,109.015,154500,1,2022
Life In New York,WanderLight,0.677,0.267,6,-13.18,0,0.0896,0.496,0.933,0.0989,0.334,84.036,142857,4,2022
Breath In,ommood,0.275,0.395,2,-10.973,1,0.054,0.468,0.598,0.357,0.33,77.539,120176,1,2022
Kicks,flamingo zamperoni,0.743,0.2,5,-11.605,0,0.0567,0.834,0.7,0.107,0.109,76.692,125995,3,2022
Unwind,Saib,0.553,0.427,6,-11.839,0,0.0636,0.548,0.793,0.0776,0.207,112.002,252857,4,2022
Northern Lights,HawkOne,0.873,0.454,6,-12.871,0,0.0519,0.354,0.846,0.105,0.681,129.959,120000,4,2022
Rainmaker,Moderator,0.656,0.41,8,-12.661,0,0.051,0.16,0.814,0.112,0.278,90.048,177333,4,2022
Summer Dream,Dosi,0.648,0.374,9,-13.027,1,0.11,0.417,0.865,0.121,0.21,88.043,130909,4,2022
Yellowish,Oskar Hahn,0.64,0.065,4,-10.885,0,0.0568,0.898,0.916,0.119,0.142,74.064,121622,4,2022
Maya,Mariana Red,0.791,0.314,0,-10.225,0,0.0898,0.943,0.759,0.323,0.375,80.017,122250,4,2022
Watercolors,Oatmello,0.678,0.416,5,-14.715,1,0.0588,0.898,0.851,0.116,0.34,156.048,113077,4,2022
Feeling Better With You,Two Muses After,0.6,0.263,4,-16.589,1,0.202,0.878,0.806,0.373,0.76,85.001,140240,4,2022
Mizu,ONO1,0.798,0.386,10,-11.154,1,0.0566,0.956,0.947,0.109,0.342,139.903,133714,4,2022
Feelin' Good,Zmeyev,0.674,0.292,5,-13.884,0,0.0833,0.857,0.927,0.108,0.581,80.002,132000,4,2022
Riviera,Civin,0.484,0.463,11,-10.375,1,0.306,0.68,0.0181,0.0887,0.462,79.408,140250,4,2022
Moka Pot,C-90,0.715,0.292,9,-17.246,0,0.14,0.892,0.875,0.111,0.27,85.028,148294,4,2022
Buoyant,Loufish,0.595,0.222,2,-21.599,0,0.0299,0.957,0.761,0.119,0.373,147.981,104595,3,2022
Brick In The Pocket,Emapea,0.766,0.622,5,-5.239,1,0.0425,0.021,0.877,0.196,0.481,94.994,166742,4,2022
Music And Me,Mr OCB,0.844,0.272,2,-5.747,0,0.0954,0.55,0.0373,0.18,0.536,84.987,127059,4,2022
With You,Sem0r,0.725,0.173,10,-12.63,0,0.0962,0.239,0.894,0.113,0.166,84.102,115787,4,2022
Enjoy The Ride,EMERLD,0.591,0.239,2,-13.048,1,0.0597,0.812,0.838,0.109,0.305,74.832,123350,4,2022
Hold My Hand,xander.,0.614,0.515,6,-8.567,0,0.0519,0.0601,0.813,0.0838,0.454,89.846,192000,4,2022
Autumn Ride,Kid Tarô,0.738,0.595,1,-7.685,1,0.0634,0.0328,0.624,0.105,0.483,165.081,130565,4,2022
Gibbon,Cherry Vans,0.612,0.184,11,-15.152,1,0.0735,0.849,0.941,0.0832,0.177,76.991,143503,4,2022
Cross Eyed,Auxjack,0.814,0.317,6,-13.792,0,0.123,0.928,0.927,0.117,0.922,143.971,140417,4,2022
Million Ways,Linkrust,0.766,0.463,8,-8.243,1,0.164,0.764,0.244,0.1,0.222,85.003,163932,4,2022
Skin Tone,Timothy Infinite,0.662,0.484,6,-6.697,0,0.0731,0.685,0.883,0.131,0.197,83.741,166018,4,2022
Climbing,Christopher Jackson,0.601,0.513,7,-13.985,1,0.106,0.000547,0.19,0.149,0.465,167.917,228571,4,2022
Nonobody,ron quixote,0.731,0.277,0,-7.862,1,0.0497,0.888,0.898,0.0982,0.23,73.98,144781,4,2022
The Stairs are Staring,Five Fingers,0.624,0.566,3,-7.305,0,0.0266,0.313,0.0137,0.169,0.84,85.0,125647,4,2022
Ordinario,Dpsht,0.75,0.248,9,-13.238,1,0.0765,0.843,0.958,0.122,0.448,143.951,120243,4,2022
Tides,Bobby Dreamz BIG,0.497,0.357,10,-10.029,0,0.0497,0.549,0.934,0.128,0.0918,166.129,161205,4,2022
Voices,Taloha Beats,0.697,0.558,9,-9.639,0,0.0548,0.132,0.704,0.0904,0.31,74.007,190710,4,2022
Open Skies,Myríad,0.693,0.239,10,-16.765,0,0.194,0.952,0.945,0.161,0.338,155.751,140760,4,2022
Road to nowhere,Living Room,0.701,0.68,1,-10.032,1,0.0365,0.844,0.93,0.11,0.682,88.99,109587,4,2022
Blue Mood,sleepsleepsleep,0.54,0.181,8,-14.529,0,0.0497,0.855,0.9,0.108,0.302,80.999,94815,4,2022
boy,kid.soho,0.619,0.724,11,-7.331,0,0.0701,0.0916,0.0547,0.094,0.571,178.072,113250,4,2022
Creamy,Lichtboje,0.788,0.328,1,-6.874,0,0.0867,0.518,0.0412,0.122,0.0767,75.984,117566,4,2022
1:00 fm,Blizzful,0.75,0.592,0,-9.512,0,0.0855,0.155,0.823,0.346,0.347,75.004,156002,4,2022
Salmon Benedict,Timothy Infinite,0.718,0.432,10,-11.149,0,0.374,0.933,0.803,0.565,0.395,78.035,117836,4,2022
Have a rest,KLIM,0.735,0.415,1,-11.747,1,0.096,0.106,0.894,0.16,0.475,171.94,133000,4,2022
u don't feel the same,vlows,0.764,0.463,5,-10.592,0,0.0462,0.411,0.823,0.147,0.376,90.043,118375,4,2022
Them Sweet Waffles,Burrito Eats,0.686,0.58,2,-8.019,0,0.0412,0.345,0.934,0.156,0.603,76.984,143377,1,2022
Contemplation,Dosi,0.548,0.153,6,-13.109,1,0.0331,0.901,0.94,0.111,0.114,144.002,133333,4,2022
Chamillion Bucks,Smeeagain,0.664,0.175,11,-13.841,0,0.141,0.647,0.743,0.119,0.445,79.026,153418,4,2022
meadowlark,Enluv,0.711,0.237,9,-12.482,1,0.0413,0.686,0.943,0.339,0.133,69.94,137358,4,2022
Colorful,Lichtboje,0.719,0.39,5,-6.205,0,0.0742,0.238,0.939,0.471,0.481,83.048,102108,4,2022
Specs,Nick Mosh,0.668,0.234,6,-16.006,0,0.0498,0.819,0.891,0.103,0.512,85.056,113647,4,2022
Wanderlust,Katashi Kaitō,0.865,0.161,4,-14.623,0,0.175,0.617,0.71,0.125,0.606,165.042,144000,4,2022
Hammock in the Clouds,Tonion,0.543,0.375,11,-16.087,1,0.0635,0.763,0.877,0.11,0.142,76.03,177632,4,2022
Red Beach,Peter Kind,0.823,0.3,11,-15.296,0,0.0593,0.744,0.79,0.301,0.705,114.944,134876,4,2022
forest gump,T.Check,0.739,0.155,5,-14.832,1,0.197,0.839,0.897,0.0843,0.398,143.998,162083,4,2022
Soul Fruit,Sadglow,0.75,0.416,8,-7.367,0,0.0371,0.86,0.849,0.201,0.548,139.969,146143,4,2022
Blueberry,Felty,0.462,0.349,9,-10.993,1,0.0583,0.79,0.907,0.0808,0.118,73.433,111765,4,2022
Slowdown,Smeeagain,0.686,0.277,0,-15.967,1,0.0585,0.359,0.658,0.128,0.522,79.017,121461,4,2022
lazy case,Polysnare,0.595,0.258,11,-11.413,0,0.0505,0.809,0.928,0.112,0.307,79.918,96000,4,2022
you know,Wieland & Ulrich,0.549,0.191,10,-16.973,0,0.173,0.805,0.732,0.108,0.439,180.038,155500,4,2022
Nap in a Park,lechiffrebeats,0.446,0.312,5,-10.006,1,0.0768,0.724,0.88,0.0931,0.0652,179.87,138667,4,2022
cheesy zelda,flamingo zamperoni,0.627,0.337,7,-13.656,1,0.407,0.668,0.000322,0.272,0.294,73.962,158919,4,2022
lostonbrick,H I K E,0.847,0.292,1,-14.127,0,0.0851,0.771,0.938,0.108,0.138,80.011,120281,4,2022
Another galaxy,YetBaby,0.906,0.53,7,-8.382,0,0.0585,0.441,0.664,0.0723,0.51,130.063,132174,4,2022
Twilight,Casiio,0.574,0.0706,9,-21.369,1,0.042,0.937,0.684,0.107,0.0796,134.085,107668,4,2022
Visions,.Eehou,0.723,0.348,5,-12.613,1,0.083,0.124,0.901,0.16,0.392,81.987,152195,4,2022
Down the street,SlowFly,0.885,0.188,0,-13.026,1,0.0873,0.247,0.882,0.11,0.253,77.29,152233,4,2022
Indian Summer,Iassu,0.673,0.47,10,-13.734,0,0.0954,0.523,0.863,0.13,0.841,80.011,111000,4,2022
Spruce,Noflik,0.643,0.258,6,-12.137,0,0.0596,0.666,0.654,0.0894,0.514,66.027,174545,4,2022
Lluvia,Juan Rios,0.694,0.287,0,-10.713,0,0.116,0.92,0.931,0.0934,0.783,146.063,125428,4,2022
Last Summer,tenkousei.,0.513,0.214,6,-13.914,0,0.0926,0.959,0.92,0.102,0.677,142.474,109552,4,2022
Ikebana,Midan,0.755,0.495,11,-6.01,0,0.0566,0.453,0.81,0.0907,0.444,90.994,139791,4,2022
Muse,Nokiaa,0.508,0.436,6,-10.207,0,0.0571,0.323,0.869,0.121,0.46,79.063,120000,4,2022
Roulette,Tabi,0.563,0.453,9,-11.224,0,0.0383,0.0955,0.935,0.111,0.412,170.064,135530,4,2022
Window Thoughts - Beat Edit,Koralle,0.792,0.389,11,-11.308,0,0.207,0.18,0.163,0.405,0.823,86.998,165907,4,2022
Air,Marcos Caixa,0.868,0.275,11,-14.947,1,0.214,0.741,0.773,0.132,0.37,88.992,145621,4,2022
Cruisin',Cherrygroove,0.729,0.367,9,-10.222,1,0.0424,0.00877,0.266,0.314,0.355,74.955,192379,4,2022
A Night Out,Jazzy Underground,0.767,0.385,2,-10.061,0,0.0754,0.183,0.583,0.0801,0.362,150.011,89600,4,2022
Spinning,Lumini,0.497,0.145,3,-13.889,1,0.19,0.819,0.538,0.114,0.118,159.982,120000,4,2022
Donquixote,Koby 808,0.723,0.499,0,-6.081,1,0.142,0.5,0.626,0.198,0.553,173.904,134193,4,2022
Jumping high feeling fly,Ohlos,0.709,0.331,7,-15.604,0,0.0828,0.799,0.827,0.117,0.345,80.01,126750,4,2022
Lux,l'eupe,0.555,0.271,8,-16.146,1,0.0751,0.94,0.884,0.0982,0.0384,77.042,158182,4,2022
plants are forever,Pleij,0.826,0.234,8,-14.045,1,0.524,0.691,0.882,0.112,0.961,78.035,129231,4,2022
Cherry Cake,Tundra Beats,0.587,0.514,11,-7.669,1,0.0477,0.218,0.857,0.263,0.589,86.494,155383,4,2022
1999,Yles,0.735,0.398,5,-5.888,1,0.0663,0.0373,0.000233,0.321,0.525,79.01,84241,4,2022
Tapioca,Dpsht,0.759,0.163,1,-13.318,1,0.225,0.32,0.926,0.108,0.652,147.604,92720,4,2022
rimschak,Wun Two,0.753,0.286,2,-11.82,1,0.253,0.803,0.857,0.12,0.199,72.987,78904,4,2022
Attract,Maravilho5a,0.748,0.784,7,-7.383,1,0.0931,0.482,0.89,0.143,0.684,80.008,150000,4,2022
One Too Many,Dualizm,0.779,0.188,9,-12.444,0,0.165,0.0742,0.906,0.0592,0.252,87.019,162759,4,2022
Ritual,Talented Mr Tipsy,0.657,0.717,10,-6.007,0,0.199,0.751,0.878,0.174,0.401,90.076,173333,4,2022
Flat,Philphonic,0.684,0.26,8,-15.333,0,0.0928,0.773,0.558,0.0955,0.136,77.973,172009,4,2022
cloud 9,Sweeps,0.669,0.31,1,-8.536,1,0.106,0.00425,0.254,0.106,0.894,86.041,125930,4,2022
Check Check,Rudy Raw,0.595,0.262,10,-14.715,1,0.041,0.0918,0.0968,0.136,0.468,83.804,122866,4,2022
Sleep Em,Pawcut,0.701,0.578,4,-9.167,0,0.0311,0.000431,0.629,0.153,0.239,117.992,113898,4,2022
Mirage,Frogman,0.605,0.0898,5,-25.122,1,0.303,0.695,0.685,0.0891,0.317,123.104,134000,3,2022
Passion Fruit,Pantone,0.766,0.755,2,-5.663,1,0.0983,0.453,0.0511,0.266,0.491,80.051,117000,4,2022
Mellow Pine,HawkOne,0.811,0.281,5,-11.635,0,0.34,0.813,0.858,0.108,0.458,84.999,124984,4,2022
Community,Oatmello,0.765,0.423,2,-14.795,1,0.0467,0.506,0.871,0.0998,0.411,148.098,104595,4,2022
Club Miles,L.O.F.I,0.722,0.426,9,-10.411,0,0.282,0.122,0.836,0.0798,0.581,180.034,97042,4,2022
Shizzle,Tojo McBee,0.791,0.338,8,-8.426,0,0.109,0.636,0.871,0.111,0.68,80.065,121500,4,2022
Quién Será? Lo-Fi,Chill Akiles,0.821,0.324,0,-9.382,0,0.0438,0.517,0.763,0.125,0.498,120.021,214633,4,2022
Sleepy,LeProdude,0.469,0.195,2,-15.837,0,0.129,0.826,0.931,0.109,0.138,82.11,143773,4,2022
Maleika,lorleaf,0.733,0.0588,0,-12.79,0,0.337,0.942,0.933,0.0943,0.515,82.008,140488,4,2022
A Day at the Beach,yosev,0.59,0.379,2,-8.266,0,0.0716,0.487,0.792,0.1,0.481,85.907,117209,4,2022
